UID,title,authors,abstract,keywords,session,teaserUrl,youtubeUrl
2715,Eikonal solution using physics-informed neural networks,"Umair bin Waheed1, Ehsan Haghighat2, Tariq Alkhalifah3, Chao Song3, Qi Hao1","Deep learning is fast emerging as a potential disruptive tool to tackle longstanding research problems across the sciences. Recent advances in the field of Scientific Machine Learning demonstrate its largely untapped potential in scientific computing. Here, we employ the emerging paradigm of physics-informed neural networks to solve the P-wave eikonal equation. By minimizing a loss function formed by imposing the eikonal equation, we train a neural network to produce travel-time solutions that are consistent with the underlying equation. This approach is particularly attractive as it can speed up seismic imaging and inversion applications significantly.",applications,1a,https://storage.googleapis.com/eeml/f1c31e3b31cb4018976b4317135702fc,https://www.youtube.com/embed/3GwZoGB7lHA
2719,Comments on Y.Bengio et al. (2019),Roberto-Rafael Maura-Rivero,"The authors of Y.Bengio et al. (2019) provided a new method to disentangle the causal mechanism between 2 variables A and B by exploiting the fact that, if you observe A and B before and after an intervention on A, it is faster to update the distribution of your variables if you assumed the correct causal structure. On top of the paper, I will comment on the limitations of the method in real life scenarios if we go slightly away of their assumptions. ",Causality,1a,https://storage.googleapis.com/eeml/00bdda6d822c475597f7a5537a2bc17a,https://www.youtube.com/embed/Z3aMVhKpk5M
2725,AirCalypse: Revealing Fine-Grained Air Quality from Social Media,"Prithviraj Pramanik, Subrata Nandi, Mousumi Saha","Air Pollution has been a growing menace in developing countries. An effective ambient air monitoring system needs to be present that can provide a city-wide fine-grained air quality map for effective policymaking. The existing ambient air quality monitoring stations incur high installation & maintenance costs and suffer from sparse coverage. On the other hand, in recent years, there has been active participation of social media users in creating awareness as well as feeding pollution-related information via several micro-blogging platforms like Twitter, Sina-Weibo, etc.  Here, we reveal some interesting initial exploratory results on inferring air quality using Twitter data.",applications,1a,https://storage.googleapis.com/eeml/ec559aa77cd744cd8ab2c50a441d09d5,https://www.youtube.com/embed/Y_2klevHzDo
2729,Image inpainting using conditional Gaussian Mixture Models,"Marcin Przewięźlikowski, Marek Śmieja, Łukasz Struski","In this project we show how to estimate probability distribution of missing image parts using Gaussian densities. In contrast to a typical shallow approach, we use deep neural networks, which allows for high flexibility and avoiding computational problems.  Given an incomplete data point, our neural network returns the parameters of Gaussian distribution (in the form of Factor Analyzers model) representing the corresponding conditional density. We experimentally verify that our model provides better log-likelihood than conditional GMM trained in a typical way. Preliminary experiments performed on MNIST and CelebA demonstrate that our model is able to handle complex high dimensional data.",unsupervisedLearning,1a,https://storage.googleapis.com/eeml/c2f4c7fe24a84bfcb7db7e677dc01e9a,https://www.youtube.com/embed/2aGrraFMZZY
2741,Learning robust visual representations using data augmentation invariance,"Alex Hernandez-Garcia, Peter König, Tim Kietzmann","The current most accurate models of image object categorization are deep neural networks trained on large labeled data sets. Minimizing a classification loss between the predictions of the network and the true labels has proven an effective way to learn discriminative functions of the object classes. However, recent studies have suggested that such models learn highly discriminative features that are not aligned with visual perception and might be at the root of adversarial vulnerability. Here, we propose to replace the classification loss with the joint optimization of invariance to identity-preserving transformations of images (data augmentation invariance), and the invariance to objects of the same category (class-wise invariance). We hypothesize that optimizing these invariance objectives might yield features more aligned with visual perception, more robust to adversarial perturbations, while still suitable for accurate object categorization.",deepLearning,1b,https://storage.googleapis.com/eeml/8d35375c28674adba518263c1d242a93,https://www.youtube.com/embed/ufM1HBJlmBY
2750,Second Language Learning in Humans and Machines,"Anshul Gupta, Kiran Praveen, Akshara Soman, Sriram Ganapathy","Cross modal association learning has been studied for humans but questions remain on novel image-audio association. In this work, we study association learning of Japanese words given as image-audio input for human subjects. We also compare machine performance for this task. The proposed model is a deep audio-visual correspondence network that uses a proxy based triplet loss. It is pre-trained with large dataset of English speech/image input, and a subset of the parameters are transfer learned for a smaller dataset of Japanese speech/image input. We compare human and machine performance on image retrieval and contrast the errors.",multimodal machine learning,1a,https://storage.googleapis.com/eeml/978c22f124e247c6ad3ea64da06b5f32,https://www.youtube.com/embed/44T_0WmAn9g
2769,Textural and deep learning methods in recognition of renal cancer types based on CT images,"Aleksandra Osowska-Kurczab, Tomasz Markiewicz, Miroslaw Dziekiewicz, Malgorzata Lorent",The aim of this work is to develop new approaches to recognition of renal cancer types on the basis of single-phase CT imaging. Two different solutions were investigated: textural descriptors passed to SVM classifier and CNN architectures. The experimental research for both textural and deep learning approaches was conducted on real world dataset of CT scans consisting of eight types of renal cell carcinomas. The proposed structure of predictive system was able to achieve the level of F1-score around 90% for complex and unbalanced dataset. Findings of the study were discussed with regard to dataset quality and preprocessing steps.,mlMedicalData,1b,https://storage.googleapis.com/eeml/df960b3d87f54925b66560f3a9b1ce96,https://www.youtube.com/embed/IsdEc0lFNW8
2779,Recipe-Ingredient Substitution,"Vindhya Singh, Chinmay Prabhakar","In order to find healthier substitutes for food items, one requires data to draw similarities. Recipe1M+ is one such data-set, provided by
Marin et al (2018). However, textually parsing and deriving similarity between the
text, contextually, is the main challenge and this is where techniques of Natural Language Processing
will be beneficial. The main motivation is to explore ways that similarities
can be found between recipe texts so as to aim for better substitution recommendations. The project
aims at building over the research being conducted presently and exploring various techniques of
NLP that can be used to bridge the gap.",nlp,1c,https://storage.googleapis.com/eeml/0fce1a78528a4b2783e485ac917240f8,https://www.youtube.com/embed/mu4uv1o2FN4
2800,Representing Point Clouds with Generative Conditional Invertible Flow Networks,Michał Stypułkowski; Kacper Kania; Maciej Zamorski; Maciej Zięba; Tomasz Trzciński; Jan Chorowski,"We propose a simple yet effective method to represent point clouds as probability distributions defined by generative neural networks. To exploit similarities between same-class objects, networks that model densities of points belonging to objects in the same family share all parameters with the exception of a small, object-specific embedding vector. We show that these embedding vectors capture semantic relationships between objects. Our method leverages generative flow networks to learn embeddings as well as to generate point clouds. Our model offers competitive or superior quantitative results while enabling capabilities to perform cloud manipulation tasks, such as registration and aligning.",Generative Models,2a,https://storage.googleapis.com/eeml/8a1028fd1686405493e7835cbc374c25,https://www.youtube.com/embed/f11DVjkgRsM
2802,Fetal ECG signal classification using Bag of Words approach,Urszula Żuchowicz,Research proposed Bag of Word model as a representation method in bioelectrical signal analysis. The main objective of this project was to apply BoW concept to capture some specific time-series information in fetal arrhythmia classification.  Non-invasive fetal ECG recordings were characterized using wavelet transformation. HSBCSCAN clustering was applied for generating vocabulary (codewords). The classification was performed using classic types of classifiers: Support Vector Classifier and Artificial Neural Networks. Parameters affecting on classification results such as clusters  size and segment length have been also analyzed.,mlMedicalData,1b,https://storage.googleapis.com/eeml/ede88df19af3426585892fc53291be27,https://www.youtube.com/embed/e8tKLP_sOsI
2813,An analysis of the possibility of using ML.NET framework,Romeo Rego,"Due to constantly rising amount of generated data, more and more machine learning (ML) and deep
learning (DL) solutions are implemented across companies and institutions to
deal with this issue. One of such technologies, targeted at
programmers rather than data scientists is ML.NET, a new ML framework for .NET
based applications. My aim is to review said framework thoroughly and assess
its utility by verifying whether its functionalities are sufficient to make it useful
in production, as well as to determine whether provided programming interface
makes it easy to use. ",theory,2a,https://storage.googleapis.com/eeml/83c34e542e7c4cdf851d3ebdbcdf6fab,https://www.youtube.com/embed/unlEc4_gXBg
2814,Security Hardening of Botnet Detectors using GANs,Rizwan Hamid Randhawa,"Machine learning (ML) based botnet detectors are no exception to traditional ML models when it comes to adversarial evasion attacks. The datasets used to train these models have also scarcity and unbalance issues. We propose a technique named Botshot, based on generative adversarial networks (GANs) for addressing these issues and making botnet detectors aware of adversarial evasions. Botshot is cost-effective as compared to the network emulation for botnet traffic data generation rendering the need for  dedicated hardware resources.",deepLearning,1b,https://storage.googleapis.com/eeml/81afee32c29346a980e5128fd95e52e9,https://www.youtube.com/embed/vmtMOAWI3Xo
2819,Extracting personal Information from conversations,"Anna Tigunova, Paramita Mirza, Andew Yates, Gerhard Weikum","Open-domain dialogue agents must be able to converse about many
topics while incorporating knowledge about the user into the conversation.
In this work we address the acquisition of such knowledge by extracting
personal attributes from conversations. This problem is
more challenging than the established task of information extraction
from scientific publications or Wikipedia articles, because
dialogues often give merely implicit cues about the speaker. We
propose methods for inferring personal attributes, such as profession,
age or family status, from conversations using deep learning.
Specifically, we propose several Hidden Attribute Models, which are
neural networks leveraging attention mechanisms and embeddings.",nlp,1c,https://storage.googleapis.com/eeml/e81e9eaa45704c5d9db5da706a5ea380,https://www.youtube.com/embed/k-Tefo6so6k
2821,"Invariant Representations without Adversarial Training, Style Transfer",Rafayel Darbinyan,"Representations of data that are invariant to changes in specified factors are useful for a wide range of problems: removing potential biases in prediction problems, controlling the effects of covariates, and disentangling meaningful factors of variation. Unfortunately, learning representations that exhibit invariance to arbitrary nuisance factors yet remain useful for other tasks is challenging. Authors of the paper cast invariant representation learning as a single information-theoretic objective that can be directly optimized. Authors demonstrate that this approach matches or exceeds performance of state-of-the-art adversarial approaches. In my reproduction work I used this algorithm for style transfer for handwritten digits.",deepLearning,1b,https://storage.googleapis.com/eeml/e717414e744c4055b68a21ca5c3ece8f,https://www.youtube.com/embed/BIfHJ9EWNqc
2849,Proximal Policy Optimization for Improved Convergence in IRGAN,"Moksh Jain, Sowmya Kamath S","IRGAN is an information retrieval approach that uses a theoretical minimax game between a generative and a discriminative model to iteratively optimize both of them. IRGAN training is unstable, and the results vary largely with the random parameter initialization. In this work, we present an improved training objective based on proximal policy optimization and Gumbel-Softmax based sampling for the generator and a modified training algorithm which takes a single gradient update on both the generator as well as the discriminator for each iteration step. We present comparisons on three different IR tasks and we observed improved performance with our modifications.",applications,1a,https://storage.googleapis.com/eeml/ca271e4c7145440b8f4300daaa90f2f2,https://www.youtube.com/embed/sVulz_09C_4
2850,Hierarchical reinforcement learning for efficient exploration and transfer,"Lorenzo Steccanella, Simone Totaro, Damien Allonsius, Anders Jonsson","Sparse-reward domains are challenging for reinforcement learning algorithms since significant exploration is needed before encountering reward for the first time. Hierarchical reinforcement learning can facilitate exploration by reducing the number of decisions necessary before obtaining a reward. In this paper, we present a novel hierarchical reinforcement learning framework based on the compression of an invariant state space that is common to a range of tasks. The algorithm introduces subtasks which consist in moving between the state partitions induced by the compression. Results indicate that the algorithm can successfully solve complex sparse-reward domains, and transfer knowledge.",reinforcementLearning,1b,https://storage.googleapis.com/eeml/ebf78e9da6bd431c9a0feac5614b3c6f,https://www.youtube.com/embed/mvbwRz8pbrg
2857,Reward Redistribution Mechanisms using Multi Agent Reinforcement Learning,"Anirudha Jitani, Aly Ibrahim, Daoud Piracha, Doina Precup","In typical Multi-Agent Reinforcement Learning (MARL) settings, each agent acts to maximize its individual reward objective. However, for collective social welfare maximization, some agents may need to act non-selfishly. We propose a reward shaping mechanism using extrinsic motivation for achieving modularity and increased cooperation among agents in Sequential Social Dilemma (SSD) problems. Our mechanism, inspired by capitalism, provides extrinsic motivation to agents by redistributing a portion of collected rewards based on each agent’s individual contribution towards team rewards. We demonstrate empirically that this mechanism leads to higher collective welfare, reduces free rider issues, and leads to more diverse policies.",reinforcementLearning,1b,https://storage.googleapis.com/eeml/6d2c1a01fa7e4b66a9d03d5bae5b1477,https://www.youtube.com/embed/-7xcuhv2ppo
2885,Topic Labeling using BART-TL,Cristian Popa,"We propose a novel solution for assigning labels to topic models by using weak labelers. This method leverages transformer models to learn accurate representations of the most important topic terms. This is achieved by fine-tuning pre-trained transformer models on a large numbers of potential labels generated by state of the art non-neural models for topic labeling, enriched with different techniques. These labels are of varying quality, as they were meant to be ranked in subsequent steps. The proposed BART-TL model is able to distinguish the valuable labels in a weakly-supervised manner.",nlp,2c,https://storage.googleapis.com/eeml/cc4d83f997e9439aa9ac7d5a22138f84,https://www.youtube.com/embed/NFA4r8TZ-jc
2899,Learning Hybrid Locomotion-Manipulation Policies for Arm-on-ANYmal,"Mayank Mittal, Vassilios Tsounis, David Hoeller, Marco Hutter","This work considers the problem of learning policies for a mobile manipulator in partially observable domains. We consider the robot ALMA, a completely torque-controlled quadrupedal robot with a robotic arm mounted on it. We formulate the learning problem as a cooperative multi-agent system comprising of the base and the arm and extend the single-agent deep RL algorithm based on policy gradients to this setting. We show that learning based on a completely decentralized multi-agent system tends to outperform a centralized multi-agent system on a suite of cooperative control tasks that we propose in this work.",robotics,1c,https://storage.googleapis.com/eeml/47036c1524054c959ecf9a45b44f40d4,https://www.youtube.com/embed/Gg6eZIJVS7c
2906,TrafficLight: Holistic Detection of Human Trafficking in Online Escort Advertisements,"Aayushi Kulshrestha, Catalina Vajiac, Sacha Levy, Junhao Wang, Namyong Park, Dhivya Eswaran, Cara Jones, Christos Faloutsos, Reihaneh Rabbany​","Can we spot human trafficking, by analyzing online escort ads? Can we explain our findings and reasoning, to law-enforcement? We propose TRAFFICLIGHT, which tackles these problems. We present TRAFFICLIGHT- an unsupervised, generalized approach that finds suspiciously connected cases of organized activity in escort ads and summarizes the evidence for a faster investigation.  TRAFFICLIGHT provides easily interpretable summarized results,  with an  estimated25x speedup in the detection of such criminal groups.  With a  further meta-clustering,  that is,  grouping clusters of ads,  we detected several M.O.s (modus operandi = types of behaviors) - the most striking one was the ‘smoke screen’ behavior.",applications,1a,https://storage.googleapis.com/eeml/b57cf73a65f540a7b4d1caf02e9cc4a6,https://www.youtube.com/embed/q19TPtEqfQI
2910,Reinforcement Learning for Congestion Control via a Flexible Action Adjustment,"Chen-Yu Yen, Soheil Abbasloo, Jonathan Chao","Congestion control is critical to achieving low latency, high throughput, and reliability in computer networks. With new technologies in the networked system every year, new approaches are proposed to do a better job of controlling congestion and satisfying the new demand for emerging applications. We introduce a deep reinforcement learning framework for congestion control to boost existing schemes instead of reinventing or replacing them. Our agent automatically adapts existing congestion control schemes to cellular network environments, for which those schemes are not originally designed. We demonstrate how to develop DRL methods in complex network environments.",reinforcementLearning,1b,https://storage.googleapis.com/eeml/9ff57c57c8564be7913456ad38c137e4,https://www.youtube.com/embed/84wTNuPp14U
2921,The k-tied Normal Distribution: A Compact Parameterization of Gaussian Mean Field Posteriors in Bayesian Neural Networks,"Jakub Swiatkowski, Kevin Roth, Bastiaan Veeling, Linh Tran, Joshua Dillon, Jasper Snoek, Stephan Mandt, Tim Salimans, Rodolphe Jenatton, Sebastian Nowozin","Variational Bayesian Inference is a popular methodology for approximating posterior distributions over Bayesian neural network weights. Recent work has explored ever richer parameterizations of the approximate posterior. In contrast, here we study an opposite direction of more compact parameterizations. For a variety of deep Bayesian neural networks trained using Gaussian mean-field variational inference, we find that the posterior standard deviations consistently exhibit strong low-rank structure after convergence. This allows us to compress the variational approximation without decreasing the models' performance. Furthermore, we find that such factorized parameterizations improve the signal-to-noise ratio of stochastic gradient estimates, resulting in faster convergence.",deepLearning,1b,https://storage.googleapis.com/eeml/17cc7ff20432467a84a656331dd28eb3,https://www.youtube.com/embed/C9Htdrtjnng
2928,Self-Supervised Learning of Rapid Maneuver Planning for Car-Like Vehicles,"Piotr Kicki, Tomasz Gawron, Piotr Skrzypczyński","We introduce a novel neural network-based method for path planning,
which employs a gradient-based self-supervised learning algorithm to predict feasible paths.
The proposed approach strongly exploits the experience gained in the past and rapidly yields feasible maneuver plans for car-like vehicles with limited steering-angle.
The effectiveness of such an approach has been confirmed by computational experiments.",robotics,1c,https://storage.googleapis.com/eeml/dfe719ff19b245d2a9fe0507cd6fe0b9,https://www.youtube.com/embed/wRYGlLsk3Io
2945,Book Characters as Library Assistants,"Ariel Lubonja, BA;  Laura Tolosi, PhD","The vision of the USC Library is to have AI-powered assistants that visitors can talk to, thus offering a modern experience and an innovative interaction with the world of books. We present a chatbot depicting the character Alice from the book The Adventures of Alice in Wonderland by Lewis Carroll. A speech recognition system translates users' spoken questions to text and a question answering system based on BERT is providing the requested information (i.e. facts from the book, biographical information on Lewis Carroll and his work, and some topics about the USC LIbrary). ",nlp,2c,https://storage.googleapis.com/eeml/2b2277e405d343c089e1acea408fbef1,https://www.youtube.com/embed/c6Khw2dj8PQ
2958,Normalizing Flows for Approximating Probability Densities,"David Liu, Lukas Ryll, Vincent Stimper","Rezende and Mohamed in [1] approximate complex distributions by transforming an initial simple distribution through invertible mappings called normalizing flows. They propose two particular types of flows, planar and radial, and show their expressivity in a variational inference setting. In this work, I reproduce their main results on approximating 2D toy probability densities, and compare their proposed flows with NICE [2], RealNVP [3] and Glow [4]. Normalizing flows are found to be able to approximate complex multimodal distributions in a 2D setting.",deepLearning,1b,https://storage.googleapis.com/eeml/7405c66b82bf4d8994e98f086cb133c0,https://www.youtube.com/embed/U_iuW7YdFtE
2963,Dense 3D Reconstruction and Object Pose Estimation,Dinh-Cuong Hoang,"This work presents a system for accurate 3D instance-aware semantic reconstruction and 6D pose estimation, using an RGB-D camera. The framework couples convolutional neural networks (CNNs) and a state-of-the-art dense SimultaneousLocalization and Mapping system, ElasticFusion, to achieve both high-quality semantic reconstruction as well as robust 6D pose estimation for relevant objects. While the main trend in CNN-based 6D pose estimation has been to infer object’s position and orientation from single views of the scene, the proposed approach explores performing pose estimation from multiple viewpoints, under the conjecture that combining multiple predictions can improve the robustness of an object detection system.",computerVision,1c,https://storage.googleapis.com/eeml/23c1a01ad3e3436d8a8e4ee9dea8402d,https://www.youtube.com/embed/Z0W26EFD_DE
2968,Experimental design for MRI by greedy policy search,"Tim Bakker, Herke van Hoof, Max Welling","MRI is routinely accelerated through subsampling of the associated Fourier domain, but the subsampling currently relies on heuristics. We propose to learn experimental design strategies for accelerated MRI with policy gradients. Unexpectedly, our experiments show that a greedy approximation of the objective leads to better solutions than the more general non-greedy approach. We propose an explanation for this phenomenon rooted in the greater presence of noise in the non-greedy objective’s gradients, and verify that this noise leaves the non-greedy models unable to adapt their policies to individual MR images. We show that this adaptivity is key to improving subsampling designs.",mlMedicalData,1b,https://storage.googleapis.com/eeml/c7ff4d63e6754fbf822d4fca969b7c53,https://www.youtube.com/embed/efZkxVKjj7w
2974,Violence Detection and Localization in Surveillance Video,"David Choqueluque Roman, Guillermo Cámara Chávez","Automatic violence detection in video surveillance is very important for social and personal security. Due to the massive video data produced by surveillance cameras installed in different environments like airports, trains, stadiums, schools, etc., traditional video monitoring by humans operators becomes inefficient. In this context, develop systems capable of detect automatically violent actions is a challenge task. This work describes a method to detect and localize violent actions in video surveillance using dynamic images, CNN's and weakly supervised localization methods. Experimental results demonstrate the effectiveness of our method when applied to two public benchmarks, Hockey Fight and UCFCrime2Local datasets.",computerVision,1c,https://storage.googleapis.com/eeml/b17531f4a716457a8bd8e09951d2fa97,https://www.youtube.com/embed/7G3i-yV117o
2981,Single Agent’s Adventures in Google Football Environment by means of Reinforcement Learning,"Maciej Mikuła, Mikołaj Pacek, Mateusz Rychlicki","Google Research Football is a novel Reinforcement Learning environment simulator of the game of football. In GRF paper, the best training result is obtained using a graphical observation in the form of a 2D ’mini-map’ representing the football pitch.
Our project aimed to test the possibility of using alternative observations: floating-point vectors. We developed training protocols, which achieved results better than in the original GRF paper.
In our project, we introduce and evaluate four different training algorithms to systematically increase the training challenge. Our best agent managed to beat sophisticated agents trained by the Google Brain Team in public leaderboard.",reinforcementLearning,1b,https://storage.googleapis.com/eeml/de716c4076504e42ad5d588ff2a26696,https://www.youtube.com/embed/_hjkuOmQ0Mk
2987,Reference Trajectory Prediction for Autonomous Vehicles,Michał Martyniak,"This poster presents a simple autonomous driving system consisting of three separable modules: perception, planning and control. 

The most important aspect of all the work done concerns the planning module. 
Proposed method of predicting so called reference trajectory was implemented and evaluated in CARLA simulation environment.
The model takes two inputs: an image from RGB camera and a navigation command. Output is a road trajectory, several meters long. 

Steering signals are produced outside neural network, using two PID controllers. 
This leads to much better understanding of agent’s actions in comparison with common method of predicting a single steering angle.",deepLearning,1b,https://storage.googleapis.com/eeml/1f3e19b9ce1044f28daedb84eee99da5,https://www.youtube.com/embed/PkTxzsUUCgc
3004,Neural Network-based Estimation of Fuel Consumption of a Conventional Delivery Vehicle based on GPS and CAN-collected Big Data,Mislav Hihlik,"In the last few decades, extensive effort has been put in fuel consumption modelling of commercial vehicles. The work done on this project has a threefold aim:  (i) fuel consumption modelling based on deep NNs which uses recorded driving cycles as input, (ii) proposing the driving cycle pre-processing method that provides proper inputs to NNs and takes payload mass in account, and (iii) validation of the prediction accuracy of the obtained NN-based fuel consumption models and their verification through comparison with the simple polynomial and simulation models.",applications,1a,https://storage.googleapis.com/eeml/936f8eb9fdef46a0a1346978ccb07348,https://www.youtube.com/embed/FR7DUcc7kh4
3005,Image-to-image translation based face de-occlusion,"Rahul S. Maharjan, Nizam Ud Din, Junho Yi","Existing deep learning-based object removal methods produce plausible results. However, they generate unsatisfactory
results when the object is large. Most of these methods rely on the object information in terms of a binary map which is insufficient to provide
information about the face semantics relation. To address the problem, we propose a two-stage
GAN-based image-to-image translation method that exploits the face semantic segmentation. Specifically, our model learns a complete facial segmentation map from an input image
in the first stage and translates that generated semantic segmentation map combined with input image into a plausible face image without the object. ",computerVision,1c,https://storage.googleapis.com/eeml/525b7cfab19c4b2f9dd35a756b7d6aeb,https://www.youtube.com/embed/wScX6_Ld_eM
3012,Geometric properties of adversarial images,Bogdan Ivanyuk-Skulskiy; Galyna Kriukova; Andrii Dmytryshyn,"Machine learning models are now widely used in a variety of tasks. However, they are vulnerable to adversarial perturbations. These are slight, intentionally worst-case, modifications to input that change the model's prediction with high confidence, without causing a human eye to spot a difference from real samples. The detection of adversarial samples is an open problem. In this work, we explore a novel method towards adversarial image detection with linear algebra approach. This method is built on a comparison of distances to the centroids for a given point and its neighbours. ",computerVision,1c,https://storage.googleapis.com/eeml/0f763d183c1c45ee8b9d07adef921761,https://www.youtube.com/embed/f7YOxOLeRys
